Admin2,Province_State
Jefferson,Alabama
Mobile,Alabama
Madison,Alabama
Shelby,Alabama
Baldwin,Alabama
Montgomery,Alabama
Tuscaloosa,Alabama
Lee,Alabama
Morgan,Alabama
Calhoun,Alabama
Anchorage,Alaska
Matanuska-Susitna,Alaska
Fairbanks North Star,Alaska
Kenai Peninsula,Alaska
Bethel,Alaska
Juneau,Alaska
Kodiak Island,Alaska
Nome,Alaska
North Slope,Alaska
Northwest Arctic,Alaska
Maricopa,Arizona
Pima,Arizona
Pinal,Arizona
Yuma,Arizona
Mohave,Arizona
Yavapai,Arizona
Coconino,Arizona
Navajo,Arizona
Cochise,Arizona
Apache,Arizona
Pulaski,Arkansas
Washington,Arkansas
Benton,Arkansas
Craighead,Arkansas
Faulkner,Arkansas
Sebastian,Arkansas
Saline,Arkansas
Garland,Arkansas
White,Arkansas
Lonoke,Arkansas
Los Angeles,California
San Diego,California
Riverside,California
San Bernardino,California
Orange,California
Santa Clara,California
Sacramento,California
Alameda,California
Fresno,California
Kern,California
El Paso,Colorado
Denver,Colorado
Arapahoe,Colorado
Adams,Colorado
Jefferson,Colorado
Weld,Colorado
Douglas,Colorado
Larimer,Colorado
Boulder,Colorado
Pueblo,Colorado
Fairfield,Connecticut
New Haven,Connecticut
Hartford,Connecticut
New London,Connecticut
Litchfield,Connecticut
Middlesex,Connecticut
Windham,Connecticut
Tolland,Connecticut
New Castle,Delaware
Sussex,Delaware
Kent,Delaware
District of Columbia,District of Columbia
Miami-Dade,Florida
Broward,Florida
Orange,Florida
Palm Beach,Florida
Hillsborough,Florida
Duval,Florida
Pinellas,Florida
Polk,Florida
Lee,Florida
Brevard,Florida
Fulton,Georgia
Gwinnett,Georgia
Cobb,Georgia
DeKalb,Georgia
Clayton,Georgia
Cherokee,Georgia
Chatham,Georgia
Henry,Georgia
Hall,Georgia
Forsyth,Georgia
Honolulu,Hawaii
Maui,Hawaii
Hawaii,Hawaii
Kauai,Hawaii
Ada,Idaho
Canyon,Idaho
Kootenai,Idaho
Bonneville,Idaho
Bannock,Idaho
Twin Falls,Idaho
Madison,Idaho
Bingham,Idaho
Nez Perce,Idaho
Bonner,Idaho
Cook,Illinois
DuPage,Illinois
Will,Illinois
Lake,Illinois
Kane,Illinois
Winnebago,Illinois
McHenry,Illinois
Madison,Illinois
St. Clair,Illinois
Champaign,Illinois
Marion,Indiana
Lake,Indiana
Allen,Indiana
Hamilton,Indiana
St. Joseph,Indiana
Vanderburgh,Indiana
Elkhart,Indiana
Tippecanoe,Indiana
Johnson,Indiana
Hendricks,Indiana
Polk,Iowa
Linn,Iowa
Scott,Iowa
Johnson,Iowa
Black Hawk,Iowa
Woodbury,Iowa
Dubuque,Iowa
Pottawattamie,Iowa
Dallas,Iowa
Story,Iowa
Sedgwick,Kansas
Johnson,Kansas
Shawnee,Kansas
Wyandotte,Kansas
Douglas,Kansas
Butler,Kansas
Leavenworth,Kansas
Reno,Kansas
Saline,Kansas
Riley,Kansas
Jefferson,Kentucky
Fayette,Kentucky
Warren,Kentucky
Kenton,Kentucky
Boone,Kentucky
Hardin,Kentucky
Daviess,Kentucky
Madison,Kentucky
Campbell,Kentucky
Bullitt,Kentucky
Jefferson,Louisiana
East Baton Rouge,Louisiana
Orleans,Louisiana
St. Tammany,Louisiana
Caddo,Louisiana
Lafayette,Louisiana
Calcasieu,Louisiana
Ouachita,Louisiana
Bossier,Louisiana
Livingston,Louisiana
Cumberland,Maine
York,Maine
Penobscot,Maine
Androscoggin,Maine
Kennebec,Maine
Oxford,Maine
Aroostook,Maine
Somerset,Maine
Hancock,Maine
Franklin,Maine
Prince George's,Maryland
Montgomery,Maryland
Baltimore,Maryland
Baltimore City,Maryland
Anne Arundel,Maryland
Frederick,Maryland
Howard,Maryland
Harford,Maryland
Washington,Maryland
Charles,Maryland
Middlesex,Massachusetts
Suffolk,Massachusetts
Essex,Massachusetts
Worcester,Massachusetts
Bristol,Massachusetts
Hampden,Massachusetts
Norfolk,Massachusetts
Plymouth,Massachusetts
Barnstable,Massachusetts
Hampshire,Massachusetts
Wayne,Michigan
Oakland,Michigan
Macomb,Michigan
Kent,Michigan
Genesee,Michigan
Ottawa,Michigan
Washtenaw,Michigan
Ingham,Michigan
Kalamazoo,Michigan
Saginaw,Michigan
Hennepin,Minnesota
Ramsey,Minnesota
Dakota,Minnesota
Anoka,Minnesota
Washington,Minnesota
Stearns,Minnesota
St. Louis,Minnesota
Scott,Minnesota
Olmsted,Minnesota
Wright,Minnesota
Hinds,Mississippi
Harrison,Mississippi
DeSoto,Mississippi
Jackson,Mississippi
Rankin,Mississippi
Lee,Mississippi
Madison,Mississippi
Forrest,Mississippi
Jones,Mississippi
Lauderdale,Mississippi
St. Louis,Missouri
St. Charles,Missouri
Jackson,Missouri
Greene,Missouri
St. Louis City,Missouri
Jefferson,Missouri
Boone,Missouri
Jasper,Missouri
Clay,Missouri
Cass,Missouri
Yellowstone,Montana
Gallatin,Montana
Flathead,Montana
Missoula,Montana
Cascade,Montana
Lewis and Clark,Montana
Silver Bow,Montana
Ravalli,Montana
Lake,Montana
Lincoln,Montana
Douglas,Nebraska
Lancaster,Nebraska
Sarpy,Nebraska
Hall,Nebraska
Buffalo,Nebraska
Dodge,Nebraska
Madison,Nebraska
Scotts Bluff,Nebraska
Platte,Nebraska
Lincoln,Nebraska
Clark,Nevada
Washoe,Nevada
Carson City,Nevada
Elko,Nevada
Lyon,Nevada
Douglas,Nevada
Nye,Nevada
Churchill,Nevada
Humboldt,Nevada
White Pine,Nevada
Hillsborough,New Hampshire
Rockingham,New Hampshire
Merrimack,New Hampshire
Strafford,New Hampshire
Grafton,New Hampshire
Cheshire,New Hampshire
Belknap,New Hampshire
Carroll,New Hampshire
Sullivan,New Hampshire
Coos,New Hampshire
Bergen,New Jersey
Essex,New Jersey
Middlesex,New Jersey
Hudson,New Jersey
Monmouth,New Jersey
Ocean,New Jersey
Passaic,New Jersey
Union,New Jersey
Camden,New Jersey
Morris,New Jersey
Bernalillo,New Mexico
Dona Ana,New Mexico
San Juan,New Mexico
Sandoval,New Mexico
Santa Fe,New Mexico
McKinley,New Mexico
Chaves,New Mexico
Lea,New Mexico
Valencia,New Mexico
Eddy,New Mexico
Kings,New York
Queens,New York
Suffolk,New York
Bronx,New York
New York,New York
Nassau,New York
Westchester,New York
Erie,New York
Richmond,New York
Monroe,New York
Wake,North Carolina
Mecklenburg,North Carolina
Guilford,North Carolina
Forsyth,North Carolina
Cumberland,North Carolina
Durham,North Carolina
Gaston,North Carolina
Union,North Carolina
Johnston,North Carolina
Cabarrus,North Carolina
Cass,North Dakota
Burleigh,North Dakota
Grand Forks,North Dakota
Ward,North Dakota
Stark,North Dakota
Morton,North Dakota
Williams,North Dakota
Stutsman,North Dakota
Rolette,North Dakota
Richland,North Dakota
Franklin,Ohio
Cuyahoga,Ohio
Hamilton,Ohio
Montgomery,Ohio
Summit,Ohio
Lucas,Ohio
Butler,Ohio
Stark,Ohio
Lorain,Ohio
Warren,Ohio
Oklahoma,Oklahoma
Tulsa,Oklahoma
Cleveland,Oklahoma
Canadian,Oklahoma
Comanche,Oklahoma
Rogers,Oklahoma
Wagoner,Oklahoma
Pottawatomie,Oklahoma
Muskogee,Oklahoma
Payne,Oklahoma
Multnomah,Oregon
Washington,Oregon
Marion,Oregon
Clackamas,Oregon
Lane,Oregon
Deschutes,Oregon
Jackson,Oregon
Linn,Oregon
Umatilla,Oregon
Douglas,Oregon
Philadelphia,Pennsylvania
Allegheny,Pennsylvania
Montgomery,Pennsylvania
Bucks,Pennsylvania
Lancaster,Pennsylvania
York,Pennsylvania
Delaware,Pennsylvania
Berks,Pennsylvania
Chester,Pennsylvania
Lehigh,Pennsylvania
Providence,Rhode Island
Kent,Rhode Island
Washington,Rhode Island
Newport,Rhode Island
Bristol,Rhode Island
Greenville,South Carolina
Richland,South Carolina
Charleston,South Carolina
Horry,South Carolina
Lexington,South Carolina
Spartanburg,South Carolina
York,South Carolina
Anderson,South Carolina
Dorchester,South Carolina
Berkeley,South Carolina
Minnehaha,South Dakota
Pennington,South Dakota
Lincoln,South Dakota
Brown,South Dakota
Codington,South Dakota
Brookings,South Dakota
Meade,South Dakota
Lawrence,South Dakota
Davison,South Dakota
Yankton,South Dakota
Shelby,Tennessee
Davidson,Tennessee
Knox,Tennessee
Hamilton,Tennessee
Rutherford,Tennessee
Williamson,Tennessee
Sumner,Tennessee
Montgomery,Tennessee
Sullivan,Tennessee
Wilson,Tennessee
Harris,Texas
Dallas,Texas
Tarrant,Texas
Bexar,Texas
Travis,Texas
El Paso,Texas
Collin,Texas
Hidalgo,Texas
Fort Bend,Texas
Denton,Texas
Salt Lake,Utah
Utah,Utah
Davis,Utah
Tooele,Utah
Summit,Utah
Wasatch,Utah
San Juan,Utah
Chittenden,Vermont
Rutland,Vermont
Bennington,Vermont
Washington,Vermont
Franklin,Vermont
Windsor,Vermont
Windham,Vermont
Orleans,Vermont
Caledonia,Vermont
Addison,Vermont
Fairfax,Virginia
Prince William,Virginia
Virginia Beach,Virginia
Chesterfield,Virginia
Loudoun,Virginia
Henrico,Virginia
Chesapeake,Virginia
Richmond City,Virginia
Norfolk,Virginia
Arlington,Virginia
King,Washington
Pierce,Washington
Snohomish,Washington
Spokane,Washington
Clark,Washington
Yakima,Washington
Benton,Washington
Thurston,Washington
Kitsap,Washington
Whatcom,Washington
Kanawha,West Virginia
Berkeley,West Virginia
Cabell,West Virginia
Monongalia,West Virginia
Wood,West Virginia
Raleigh,West Virginia
Harrison,West Virginia
Putnam,West Virginia
Mercer,West Virginia
Jefferson,West Virginia
Milwaukee,Wisconsin
Dane,Wisconsin
Waukesha,Wisconsin
Brown,Wisconsin
Racine,Wisconsin
Outagamie,Wisconsin
Winnebago,Wisconsin
Kenosha,Wisconsin
Rock,Wisconsin
Marathon,Wisconsin
Laramie,Wyoming
Natrona,Wyoming
Fremont,Wyoming
Campbell,Wyoming
Sweetwater,Wyoming
Albany,Wyoming
Teton,Wyoming
Sheridan,Wyoming
Park,Wyoming
Uinta,Wyoming
